row_index,reason,original_src,original_dst
46699,dst_unresolved:GSM|ID:5712.0,DXB,GSM
46700,src_unresolved:GSM|ID:5712.0,GSM,DXB
46701,src_unresolved:GSM|ID:5712.0,GSM,KIH
46702,src_unresolved:GSM|ID:5712.0,GSM,SYZ
46704,dst_unresolved:GSM|ID:5712.0,KIH,GSM
46707,dst_unresolved:GSM|ID:5712.0,SYZ,GSM
46822,dst_unresolved:ZBL|ID:nan,BNE,ZBL
47163,src_unresolved:ZBL|ID:nan,ZBL,BNE
47780,dst_unresolved:OHH|ID:7479.0,KHV,OHH
47808,src_unresolved:OHH|ID:7479.0,OHH,KHV
47890,dst_unresolved:ZDY|ID:8962.0,AZI,ZDY
47896,src_unresolved:ZDY|ID:8962.0,ZDY,AZI
47953,dst_unresolved:MRA|ID:5804.0,AMM,MRA
48011,src_unresolved:MRA|ID:5804.0,MRA,AMM
48450,dst_unresolved:BSS|ID:nan,IMP,BSS
49522,dst_unresolved:TCR|ID:9842.0,MAA,TCR
49544,src_unresolved:TCR|ID:9842.0,TCR,MAA
51808,src_unresolved:MLH|ID:nan,MLH,MRS
51811,dst_unresolved:MLH|ID:nan,MRS,MLH
52590,dst_unresolved:MRA|ID:5804.0,IST,MRA
52733,src_unresolved:MRA|ID:5804.0,MRA,IST
